Evangelische Kerk Philadelphia,Sint-Bernardsesteenweg 505,2660 ANTWERPEN ,ANTWERPEN,2660,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Light of the World Ministry International - House of Glory,"Zaal 't Capucientje, Capucienenlaan 99",9300 AALST ,AALST,9300,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Centro Cristiano Pentecostal Vida Nueva,"Rue Gheude, 54 (salle à droite)",1070 BRUSSEL-ANDERLECHT ,BRUSSEL-ANDERLECHT,1070,Concertation des Églises Indépendantes,ARPEE
The Redeemed Christian Church of God - New Life Assembly,Statiestraat 149,2600 ANTWERPEN ,ANTWERPEN,2600,Redeemed Christian Church of God,ARPEE
Universele Kerk van Gods Rijk,Carnotstraat 15,2060 ANTWERPEN ,ANTWERPEN,2060,Verbond van Vlaamse Pinkstergemeenten,ARPEE
Christusgemeente,Bexstraat 13,2018 ANTWERPEN ,ANTWERPEN,2018,Eglise Protestante Unie de Belgique,ARPEE
De Brabantse Olijfberg,Lange Winkelstraat 5,2000 ANTWERPEN ,ANTWERPEN,2000,Eglise Protestante Unie de Belgique,ARPEE
Protestantse kerk De Wijngaard,Sanderusstraat 77,2018 ANTWERPEN ,ANTWERPEN,2018,Eglise Protestante Unie de Belgique,ARPEE
Eglise Protestante Luthérienne Belge de la Confession d'Augsbourg - Eglise Protestante Luthérienne du Pays d'Arlon,"Quartier Callemeyn, Avenue du Dixième de Ligne",6700 ARLON ,ARLON,6700,Eglises Luthériennes,ARPEE
Eglise protestante évangélique,"Rue du Temple, 1",6700 ARLON ,ARLON,6700,Mission Evangélique Belge,ARPEE
Eglise protestante unie de Belgique,"Rue des Ecriniers, 6 A",7800 AAT ,AAT,7800,Eglise Protestante Unie de Belgique,ARPEE
Eglise Evangélique Protestante,"Rue du Fort, 16",7800 AAT ,AAT,7800,Onder de directe verantwoordelijkheid van de Uitvoerende Raad van de Federale Synode,ARPEE
Eglise Protestante Baptiste Centre Martin Luther King,"Rue du Halage, 40",4920 AYWAILLE ,AYWAILLE,4920,Eglises en entente administrative avec l'EPUB,ARPEE
Evangelische Kerk Pniël,Kolfstraat 9,2490 BALEN ,BALEN,2490,Eglises affilié à l'EPUB,ARPEE
Christengemeente Kempen,Rijkevorselseweg 42,2340 BEERSE ,BEERSE,2340,Evangelische Christengemeenten Vlaanderen,ARPEE
Korean Mission Church,Alsembergsesteenweg 1131,1650 BEERSEL ,BEERSEL,1650,Concertation des Églises Indépendantes,ARPEE
Evangelische Kerk De Graankorrel,Leemstraat 89,3582 BERINGEN ,BERINGEN,3582,Evangelische Christengemeenten Vlaanderen,ARPEE
Evangelische Kerk Bilzen,Spurkerweg 25,3740 BILZEN ,BILZEN,3740,Evangelische Christengemeenten Vlaanderen,ARPEE
